Date,Month,Year,Country,Product,Revenue,MarketingSpend,NewCustomers,ChurnRate,NPS
10/01/2023,January,2023,Spain,Enterprise,249,6,0,2.16,38
11/01/2023,January,2023,Spain,Enterprise,4,0,0,2.88,44
12/01/2023,January,2023,Spain,Enterprise,2358,52,2,2.95,41
13/01/2023,January,2023,Spain,Enterprise,371,8,0,2.1,39
14/01/2023,January,2023,Spain,Enterprise,5573,123,5,2.59,48
15/01/2023,January,2023,Spain,Enterprise,1759,39,1,2.07,43
16/01/2023,January,2023,Spain,Enterprise,1060,23,1,2.13,48
17/01/2023,January,2023,Spain,Enterprise,660,15,1,2.7,47
18/01/2023,January,2023,Spain,Enterprise,1174,26,1,2.36,46
19/01/2023,January,2023,Spain,Enterprise,1429,32,1,2.04,42
20/01/2023,January,2023,Spain,Enterprise,3955,88,3,2.35,45
21/01/2023,January,2023,Spain,Enterprise,3696,82,3,2.32,39
22/01/2023,January,2023,Spain,Enterprise,528,12,0,2.93,47
23/01/2023,January,2023,Spain,Enterprise,2140,47,2,2.41,42
24/01/2023,January,2023,Spain,Enterprise,1562,35,1,2.01,45
25/01/2023,January,2023,Spain,Enterprise,869,19,1,2.76,45
26/01/2023,January,2023,Spain,Enterprise,158,3,0,2.84,46
27/01/2023,January,2023,Spain,Enterprise,2503,55,2,2.75,42
28/01/2023,January,2023,Spain,Enterprise,1814,40,2,2.56,39
29/01/2023,January,2023,Spain,Enterprise,439,10,0,2.47,39
30/01/2023,January,2023,Spain,Enterprise,1142,25,1,2.92,43
31/01/2023,January,2023,Spain,Enterprise,1162,27,3,2.12,38
01/01/2023,January,2023,USA,Basic,64,11,0,3.15,54
02/01/2023,January,2023,USA,Basic,80,14,0,2.98,51
03/01/2023,January,2023,USA,Basic,228,39,1,3.0,47
04/01/2023,January,2023,USA,Basic,52,9,0,3.34,51
05/01/2023,January,2023,USA,Basic,112,19,1,3.27,53
06/01/2023,January,2023,USA,Basic,26,4,0,3.06,48
07/01/2023,January,2023,USA,Basic,177,30,1,2.63,49
08/01/2023,January,2023,USA,Basic,910,154,4,2.67,49
09/01/2023,January,2023,USA,Basic,13,2,0,3.47,53
10/01/2023,January,2023,USA,Basic,180,31,1,2.6,56
11/01/2023,January,2023,USA,Basic,104,18,0,2.63,51
12/01/2023,January,2023,USA,Basic,104,18,0,2.65,52
13/01/2023,January,2023,USA,Basic,132,22,1,3.35,49
14/01/2023,January,2023,USA,Basic,20,3,0,2.71,49
15/01/2023,January,2023,USA,Basic,19,3,0,3.1,51
16/01/2023,January,2023,USA,Basic,379,64,2,3.13,55
17/01/2023,January,2023,USA,Basic,51,9,0,2.84,49
18/01/2023,January,2023,USA,Basic,72,12,0,3.3,52
19/01/2023,January,2023,USA,Basic,134,23,1,2.65,46
20/01/2023,January,2023,USA,Basic,271,46,1,3.23,56
21/01/2023,January,2023,USA,Basic,458,78,2,3.08,53
22/01/2023,January,2023,USA,Basic,79,13,0,3.53,47
23/01/2023,January,2023,USA,Basic,22,4,0,3.04,47
24/01/2023,January,2023,USA,Basic,139,24,1,2.64,47
25/01/2023,January,2023,USA,Basic,206,35,1,3.52,53
26/01/2023,January,2023,USA,Basic,137,23,1,3.18,54
27/01/2023,January,2023,USA,Basic,30,5,0,2.66,54
28/01/2023,January,2023,USA,Basic,45,8,0,3.32,54
29/01/2023,January,2023,USA,Basic,133,23,1,3.24,54
30/01/2023,January,2023,USA,Basic,321,54,1,2.67,55
31/01/2023,January,2023,USA,Basic,190,32,2,3.03,56
01/01/2023,January,2023,USA,Pro,284,17,0,1.93,81
02/01/2023,January,2023,USA,Pro,361,22,1,2.45,73
03/01/2023,January,2023,USA,Pro,66,4,0,2.11,78
04/01/2023,January,2023,USA,Pro,839,51,1,2.02,77
05/01/2023,January,2023,USA,Pro,1596,98,2,2.07,76
06/01/2023,January,2023,USA,Pro,455,28,1,2.33,78
07/01/2023,January,2023,USA,Pro,573,35,1,2.47,78
08/01/2023,January,2023,USA,Pro,19,1,0,2.14,75
09/01/2023,January,2023,USA,Pro,988,60,2,2.17,79
10/01/2023,January,2023,USA,Pro,954,58,1,2.51,73
11/01/2023,January,2023,USA,Pro,183,11,0,2.47,73
12/01/2023,January,2023,USA,Pro,218,13,0,2.57,75
13/01/2023,January,2023,USA,Pro,572,35,1,2.38,77
14/01/2023,January,2023,USA,Pro,1474,90,2,2.02,81
15/01/2023,January,2023,USA,Pro,314,19,0,2.29,80
16/01/2023,January,2023,USA,Pro,163,10,0,1.73,79
17/01/2023,January,2023,USA,Pro,617,38,1,2.52,81
18/01/2023,January,2023,USA,Pro,67,4,0,2.1,73
19/01/2023,January,2023,USA,Pro,19,1,0,1.98,76
20/01/2023,January,2023,USA,Pro,761,47,1,2.53,72
21/01/2023,January,2023,USA,Pro,963,59,1,2.37,75
22/01/2023,January,2023,USA,Pro,194,12,0,2.24,71
23/01/2023,January,2023,USA,Pro,60,4,0,2.54,77
24/01/2023,January,2023,USA,Pro,469,29,1,1.82,77
25/01/2023,January,2023,USA,Pro,253,15,0,1.61,77
26/01/2023,January,2023,USA,Pro,150,9,0,2.0,74
27/01/2023,January,2023,USA,Pro,401,25,1,1.67,80
28/01/2023,January,2023,USA,Pro,507,31,1,1.61,77
29/01/2023,January,2023,USA,Pro,75,5,0,1.71,77
30/01/2023,January,2023,USA,Pro,44,3,0,1.7,80
31/01/2023,January,2023,USA,Pro,82,5,3,1.81,77
01/01/2023,January,2023,USA,Enterprise,1628,31,1,1.9,73
02/01/2023,January,2023,USA,Enterprise,1038,20,0,1.38,74
03/01/2023,January,2023,USA,Enterprise,444,8,0,1.61,75
04/01/2023,January,2023,USA,Enterprise,216,4,0,1.3,75
05/01/2023,January,2023,USA,Enterprise,426,8,0,1.29,72
06/01/2023,January,2023,USA,Enterprise,1268,24,0,1.52,76
07/01/2023,January,2023,USA,Enterprise,348,7,0,1.98,72
08/01/2023,January,2023,USA,Enterprise,4700,89,2,1.27,66
09/01/2023,January,2023,USA,Enterprise,1896,36,1,1.3,75
10/01/2023,January,2023,USA,Enterprise,476,9,0,1.66,69
11/01/2023,January,2023,USA,Enterprise,425,8,0,2.08,76
12/01/2023,January,2023,USA,Enterprise,416,8,0,1.39,73
13/01/2023,January,2023,USA,Enterprise,6589,125,2,1.86,75
14/01/2023,January,2023,USA,Enterprise,1372,26,0,1.78,67
15/01/2023,January,2023,USA,Enterprise,706,13,0,2.03,68
16/01/2023,January,2023,USA,Enterprise,655,12,0,1.72,67
17/01/2023,January,2023,USA,Enterprise,171,3,0,1.29,66
18/01/2023,January,2023,USA,Enterprise,3833,73,1,1.74,75
19/01/2023,January,2023,USA,Enterprise,805,15,0,2.14,69
20/01/2023,January,2023,USA,Enterprise,1316,25,0,1.97,72
21/01/2023,January,2023,USA,Enterprise,78,1,0,2.04,68
22/01/2023,January,2023,USA,Enterprise,4593,87,1,1.48,66
23/01/2023,January,2023,USA,Enterprise,1524,29,0,2.25,70
24/01/2023,January,2023,USA,Enterprise,390,7,0,1.94,67
25/01/2023,January,2023,USA,Enterprise,319,6,0,1.88,69
26/01/2023,January,2023,USA,Enterprise,1866,36,1,1.53,70
27/01/2023,January,2023,USA,Enterprise,920,18,0,2.23,72
28/01/2023,January,2023,USA,Enterprise,634,12,0,1.6,68
29/01/2023,January,2023,USA,Enterprise,1828,35,1,1.85,71
30/01/2023,January,2023,USA,Enterprise,968,18,0,1.94,70
31/01/2023,January,2023,USA,Enterprise,1534,33,4,2.02,73
01/01/2023,January,2023,Germany,Basic,171,30,1,2.84,35
02/01/2023,January,2023,Germany,Basic,14,2,0,2.58,42
03/01/2023,January,2023,Germany,Basic,456,79,3,2.71,42
04/01/2023,January,2023,Germany,Basic,700,121,5,2.99,36
05/01/2023,January,2023,Germany,Basic,288,50,2,3.01,37
06/01/2023,January,2023,Germany,Basic,15,3,0,3.1,39
07/01/2023,January,2023,Germany,Basic,91,16,1,3.08,42
08/01/2023,January,2023,Germany,Basic,57,10,0,2.56,40
09/01/2023,January,2023,Germany,Basic,297,52,2,2.78,41
10/01/2023,January,2023,Germany,Basic,33,6,0,2.49,39
11/01/2023,January,2023,Germany,Basic,83,14,1,3.09,39
12/01/2023,January,2023,Germany,Basic,540,94,4,2.36,42
13/01/2023,January,2023,Germany,Basic,168,29,1,2.71,41
14/01/2023,January,2023,Germany,Basic,27,5,0,2.57,39
15/01/2023,January,2023,Germany,Basic,9,2,0,2.75,38
16/01/2023,January,2023,Germany,Basic,540,94,4,2.85,42
17/01/2023,January,2023,Germany,Basic,469,81,3,3.04,40
18/01/2023,January,2023,Germany,Basic,352,61,3,2.78,40
19/01/2023,January,2023,Germany,Basic,404,70,3,2.89,41
20/01/2023,January,2023,Germany,Basic,11,2,0,2.95,40
21/01/2023,January,2023,Germany,Basic,74,13,1,2.57,41
22/01/2023,January,2023,Germany,Basic,214,37,2,2.67,40
23/01/2023,January,2023,Germany,Basic,51,9,0,2.32,37
24/01/2023,January,2023,Germany,Basic,504,87,4,2.68,44
25/01/2023,January,2023,Germany,Basic,32,6,0,2.46,40
26/01/2023,January,2023,Germany,Basic,31,5,0,2.79,38
27/01/2023,January,2023,Germany,Basic,57,10,0,2.78,36
28/01/2023,January,2023,Germany,Basic,200,35,1,2.68,41
29/01/2023,January,2023,Germany,Basic,10,2,0,3.21,36
30/01/2023,January,2023,Germany,Basic,57,10,0,2.52,43
31/01/2023,January,2023,Germany,Basic,62,9,3,2.85,39
01/01/2023,January,2023,Germany,Pro,34,4,0,2.83,61
02/01/2023,January,2023,Germany,Pro,539,59,2,2.53,63
03/01/2023,January,2023,Germany,Pro,941,104,4,2.3,67
04/01/2023,January,2023,Germany,Pro,340,38,1,2.5,60
05/01/2023,January,2023,Germany,Pro,6,1,0,3.18,65
06/01/2023,January,2023,Germany,Pro,375,41,2,2.56,62
07/01/2023,January,2023,Germany,Pro,528,58,2,3.15,61
08/01/2023,January,2023,Germany,Pro,506,56,2,2.51,61
09/01/2023,January,2023,Germany,Pro,206,23,1,2.75,61
10/01/2023,January,2023,Germany,Pro,117,13,0,2.85,69
11/01/2023,January,2023,Germany,Pro,31,3,0,2.71,66
12/01/2023,January,2023,Germany,Pro,96,11,0,2.67,64
13/01/2023,January,2023,Germany,Pro,521,57,2,2.9,66
14/01/2023,January,2023,Germany,Pro,5,1,0,3.2,62
15/01/2023,January,2023,Germany,Pro,74,8,0,2.66,61
16/01/2023,January,2023,Germany,Pro,53,6,0,2.54,66
17/01/2023,January,2023,Germany,Pro,760,84,3,2.94,66
18/01/2023,January,2023,Germany,Pro,183,20,1,2.39,68
19/01/2023,January,2023,Germany,Pro,691,76,3,2.69,59
20/01/2023,January,2023,Germany,Pro,50,6,0,2.34,62
21/01/2023,January,2023,Germany,Pro,527,58,2,2.94,69
22/01/2023,January,2023,Germany,Pro,65,7,0,3.07,63
23/01/2023,January,2023,Germany,Pro,213,23,1,3.17,68
24/01/2023,January,2023,Germany,Pro,96,11,0,2.67,62
25/01/2023,January,2023,Germany,Pro,300,33,1,3.07,61
26/01/2023,January,2023,Germany,Pro,185,20,1,2.46,67
27/01/2023,January,2023,Germany,Pro,252,28,1,2.75,59
28/01/2023,January,2023,Germany,Pro,196,22,1,2.44,67
29/01/2023,January,2023,Germany,Pro,270,30,1,2.77,63
30/01/2023,January,2023,Germany,Pro,4,0,0,3.14,60
31/01/2023,January,2023,Germany,Pro,197,21,4,2.92,59
01/01/2023,January,2023,Germany,Enterprise,1015,22,2,1.77,43
02/01/2023,January,2023,Germany,Enterprise,628,14,1,1.67,46
03/01/2023,January,2023,Germany,Enterprise,557,12,1,2.19,42
04/01/2023,January,2023,Germany,Enterprise,2349,52,3,1.72,37
05/01/2023,January,2023,Germany,Enterprise,927,20,1,1.7,44
06/01/2023,January,2023,Germany,Enterprise,1163,26,2,1.91,44
07/01/2023,January,2023,Germany,Enterprise,702,15,1,1.48,42
08/01/2023,January,2023,Germany,Enterprise,39,1,0,2.12,37
09/01/2023,January,2023,Germany,Enterprise,3013,66,4,1.65,37
10/01/2023,January,2023,Germany,Enterprise,2743,60,4,2.36,43
11/01/2023,January,2023,Germany,Enterprise,1093,24,2,2.23,41
12/01/2023,January,2023,Germany,Enterprise,518,11,1,1.67,45
13/01/2023,January,2023,Germany,Enterprise,432,10,1,1.65,43
14/01/2023,January,2023,Germany,Enterprise,2349,52,3,1.94,44
15/01/2023,January,2023,Germany,Enterprise,1000,22,1,1.64,37
16/01/2023,January,2023,Germany,Enterprise,1933,43,3,2.1,37
17/01/2023,January,2023,Germany,Enterprise,2703,60,4,1.63,46
18/01/2023,January,2023,Germany,Enterprise,416,9,1,1.72,39
19/01/2023,January,2023,Germany,Enterprise,137,3,0,1.51,42
20/01/2023,January,2023,Germany,Enterprise,827,18,1,2.19,40
21/01/2023,January,2023,Germany,Enterprise,595,13,1,2.14,46
22/01/2023,January,2023,Germany,Enterprise,2980,66,4,2.42,42
23/01/2023,January,2023,Germany,Enterprise,19,0,0,2.07,44
24/01/2023,January,2023,Germany,Enterprise,439,10,1,1.67,45
25/01/2023,January,2023,Germany,Enterprise,217,5,0,2.12,36
26/01/2023,January,2023,Germany,Enterprise,874,19,1,1.75,46
27/01/2023,January,2023,Germany,Enterprise,244,5,0,1.55,44
28/01/2023,January,2023,Germany,Enterprise,464,10,1,2.35,39
29/01/2023,January,2023,Germany,Enterprise,1063,23,2,2.06,45
30/01/2023,January,2023,Germany,Enterprise,232,5,0,2.34,44
31/01/2023,January,2023,Germany,Enterprise,1335,32,3,1.92,37
01/02/2023,February,2023,Spain,Basic,378,16,1,1.95,36
02/02/2023,February,2023,Spain,Basic,70,3,0,2.54,35
03/02/2023,February,2023,Spain,Basic,104,5,0,2.45,45
04/02/2023,February,2023,Spain,Basic,96,4,0,2.28,45
05/02/2023,February,2023,Spain,Basic,549,24,1,1.83,35
06/02/2023,February,2023,Spain,Basic,420,18,1,2.26,36
07/02/2023,February,2023,Spain,Basic,150,7,0,2.14,35
08/02/2023,February,2023,Spain,Basic,171,7,0,1.76,38
09/02/2023,February,2023,Spain,Basic,66,3,0,2.51,38
10/02/2023,February,2023,Spain,Basic,200,9,0,2.43,42
11/02/2023,February,2023,Spain,Basic,991,43,2,2.34,42
12/02/2023,February,2023,Spain,Basic,611,27,1,2.59,43
13/02/2023,February,2023,Spain,Basic,13,1,0,1.74,40
14/02/2023,February,2023,Spain,Basic,28,1,0,1.77,38
15/02/2023,February,2023,Spain,Basic,335,15,1,2.61,37
16/02/2023,February,2023,Spain,Basic,59,3,0,2.12,35
17/02/2023,February,2023,Spain,Basic,280,12,1,2.17,41
18/02/2023,February,2023,Spain,Basic,958,42,2,1.84,44
19/02/2023,February,2023,Spain,Basic,369,16,1,1.82,35
20/02/2023,February,2023,Spain,Basic,198,9,0,1.85,40
21/02/2023,February,2023,Spain,Basic,239,10,1,1.88,40
22/02/2023,February,2023,Spain,Basic,1507,66,4,2.09,37
23/02/2023,February,2023,Spain,Basic,93,4,0,1.84,37
24/02/2023,February,2023,Spain,Basic,1406,61,3,1.94,40
25/02/2023,February,2023,Spain,Basic,2,0,0,1.73,40
26/02/2023,February,2023,Spain,Basic,993,43,2,2.59,35
27/02/2023,February,2023,Spain,Basic,559,24,1,2.24,37
28/02/2023,February,2023,Spain,Basic,167,7,5,2.09,45
01/02/2023,February,2023,Spain,Pro,565,32,2,1.75,37
02/02/2023,February,2023,Spain,Pro,430,25,1,1.89,37
03/02/2023,February,2023,Spain,Pro,69,4,0,1.05,45
04/02/2023,February,2023,Spain,Pro,894,51,2,1.4,37
05/02/2023,February,2023,Spain,Pro,646,37,2,1.74,43
06/02/2023,February,2023,Spain,Pro,374,21,1,2.02,36
07/02/2023,February,2023,Spain,Pro,562,32,2,1.13,42
08/02/2023,February,2023,Spain,Pro,1658,95,5,1.95,45
09/02/2023,February,2023,Spain,Pro,271,16,1,1.84,43
10/02/2023,February,2023,Spain,Pro,435,25,1,1.11,35
11/02/2023,February,2023,Spain,Pro,59,3,0,1.06,35
12/02/2023,February,2023,Spain,Pro,1502,86,4,1.47,38
13/02/2023,February,2023,Spain,Pro,2006,115,6,1.69,43
14/02/2023,February,2023,Spain,Pro,1360,78,4,1.77,43
15/02/2023,February,2023,Spain,Pro,33,2,0,1.58,35
16/02/2023,February,2023,Spain,Pro,21,1,0,1.52,40
17/02/2023,February,2023,Spain,Pro,263,15,1,1.68,43
18/02/2023,February,2023,Spain,Pro,285,16,1,1.17,40
19/02/2023,February,2023,Spain,Pro,319,18,1,1.18,45
20/02/2023,February,2023,Spain,Pro,161,9,0,1.46,37
21/02/2023,February,2023,Spain,Pro,424,24,1,1.09,40
22/02/2023,February,2023,Spain,Pro,36,2,0,1.17,42
23/02/2023,February,2023,Spain,Pro,205,12,1,1.15,43
24/02/2023,February,2023,Spain,Pro,57,3,0,1.09,37
25/02/2023,February,2023,Spain,Pro,113,6,0,1.68,42
26/02/2023,February,2023,Spain,Pro,1638,94,4,1.05,42
27/02/2023,February,2023,Spain,Pro,782,45,2,1.8,45
28/02/2023,February,2023,Spain,Pro,503,32,1,1.15,35
01/02/2023,February,2023,Spain,Enterprise,419,11,0,1.75,38
02/02/2023,February,2023,Spain,Enterprise,2160,54,2,1.96,37
03/02/2023,February,2023,Spain,Enterprise,91,2,0,1.76,32
04/02/2023,February,2023,Spain,Enterprise,7409,186,7,1.99,39
05/02/2023,February,2023,Spain,Enterprise,429,11,0,1.39,38
06/02/2023,February,2023,Spain,Enterprise,62,2,0,1.91,36
07/02/2023,February,2023,Spain,Enterprise,250,6,0,2.07,36
08/02/2023,February,2023,Spain,Enterprise,651,16,1,1.76,42
09/02/2023,February,2023,Spain,Enterprise,2462,62,2,1.76,33
10/02/2023,February,2023,Spain,Enterprise,42,1,0,1.26,32
11/02/2023,February,2023,Spain,Enterprise,934,23,1,2.01,42
12/02/2023,February,2023,Spain,Enterprise,2965,74,3,1.93,37
13/02/2023,February,2023,Spain,Enterprise,1091,27,1,1.51,42
14/02/2023,February,2023,Spain,Enterprise,16,0,0,1.62,41
15/02/2023,February,2023,Spain,Enterprise,971,24,1,1.2,38
16/02/2023,February,2023,Spain,Enterprise,2596,65,3,1.48,35
17/02/2023,February,2023,Spain,Enterprise,69,2,0,1.51,40
18/02/2023,February,2023,Spain,Enterprise,1605,40,2,1.59,41
19/02/2023,February,2023,Spain,Enterprise,1805,45,2,2.02,40
20/02/2023,February,2023,Spain,Enterprise,286,7,0,1.35,34
21/02/2023,February,2023,Spain,Enterprise,542,14,1,1.72,37
22/02/2023,February,2023,Spain,Enterprise,1706,43,2,1.9,36
23/02/2023,February,2023,Spain,Enterprise,1063,27,1,2.12,42
24/02/2023,February,2023,Spain,Enterprise,4155,104,4,1.47,42
25/02/2023,February,2023,Spain,Enterprise,357,9,0,1.26,37
26/02/2023,February,2023,Spain,Enterprise,695,17,1,1.6,37
27/02/2023,February,2023,Spain,Enterprise,49,1,0,1.59,37
28/02/2023,February,2023,Spain,Enterprise,2145,57,3,2.03,32
01/02/2023,February,2023,USA,Basic,-5,27,0,4.42,43
02/02/2023,February,2023,USA,Basic,-12,64,1,4.49,39
03/02/2023,February,2023,USA,Basic,-1,8,0,4.38,39
04/02/2023,February,2023,USA,Basic,-2,11,0,4.58,48
05/02/2023,February,2023,USA,Basic,-3,14,0,3.95,42
06/02/2023,February,2023,USA,Basic,-3,16,0,3.92,41
07/02/2023,February,2023,USA,Basic,-1,4,0,4.66,48
08/02/2023,February,2023,USA,Basic,-2,9,0,4.77,40
09/02/2023,February,2023,USA,Basic,-3,16,0,4.07,42
10/02/2023,February,2023,USA,Basic,-1,8,0,4.03,38
11/02/2023,February,2023,USA,Basic,-27,148,2,4.02,38
12/02/2023,February,2023,USA,Basic,-1,6,0,3.99,39
13/02/2023,February,2023,USA,Basic,-7,38,0,4.46,43
14/02/2023,February,2023,USA,Basic,-14,75,1,4.08,45
15/02/2023,February,2023,USA,Basic,-9,47,1,4.17,44
16/02/2023,February,2023,USA,Basic,-2,10,0,4.7,41
17/02/2023,February,2023,USA,Basic,-2,9,0,4.79,42
18/02/2023,February,2023,USA,Basic,0,0,0,4.21,47
19/02/2023,February,2023,USA,Basic,-3,15,0,4.86,44
20/02/2023,February,2023,USA,Basic,0,1,0,4.09,47
21/02/2023,February,2023,USA,Basic,-7,38,1,4.72,42
22/02/2023,February,2023,USA,Basic,-5,30,0,4.27,41
23/02/2023,February,2023,USA,Basic,-2,13,0,4.41,38
24/02/2023,February,2023,USA,Basic,-2,13,0,4.26,45
25/02/2023,February,2023,USA,Basic,-8,42,1,4.72,45
26/02/2023,February,2023,USA,Basic,-5,26,0,4.8,48
27/02/2023,February,2023,USA,Basic,-10,54,1,4.75,41
28/02/2023,February,2023,USA,Basic,-3,24,2,4.84,38
01/02/2023,February,2023,USA,Pro,164,8,0,2.11,53
02/02/2023,February,2023,USA,Pro,487,23,1,1.71,59
03/02/2023,February,2023,USA,Pro,1530,74,2,2.48,60
04/02/2023,February,2023,USA,Pro,642,31,1,2.02,57
05/02/2023,February,2023,USA,Pro,168,8,0,1.72,55
06/02/2023,February,2023,USA,Pro,3877,187,5,1.53,51
07/02/2023,February,2023,USA,Pro,2395,115,3,1.87,55
08/02/2023,February,2023,USA,Pro,441,21,1,1.61,57
09/02/2023,February,2023,USA,Pro,367,18,0,2.48,56
10/02/2023,February,2023,USA,Pro,139,7,0,1.98,59
11/02/2023,February,2023,USA,Pro,1530,74,2,1.87,57
12/02/2023,February,2023,USA,Pro,469,23,1,2.02,53
13/02/2023,February,2023,USA,Pro,149,7,0,1.55,55
14/02/2023,February,2023,USA,Pro,744,36,1,1.73,54
15/02/2023,February,2023,USA,Pro,2089,101,3,2.3,57
16/02/2023,February,2023,USA,Pro,1094,53,1,2.27,52
17/02/2023,February,2023,USA,Pro,80,4,0,2.2,55
18/02/2023,February,2023,USA,Pro,307,15,0,1.8,53
19/02/2023,February,2023,USA,Pro,123,6,0,2.41,59
20/02/2023,February,2023,USA,Pro,76,4,0,1.68,53
21/02/2023,February,2023,USA,Pro,766,37,1,1.68,58
22/02/2023,February,2023,USA,Pro,417,20,1,2.15,56
23/02/2023,February,2023,USA,Pro,95,5,0,2.44,55
24/02/2023,February,2023,USA,Pro,90,4,0,1.99,59
25/02/2023,February,2023,USA,Pro,339,16,0,1.54,58
26/02/2023,February,2023,USA,Pro,33,2,0,1.9,56
27/02/2023,February,2023,USA,Pro,172,8,0,2.22,58
28/02/2023,February,2023,USA,Pro,870,39,2,1.71,53
01/02/2023,February,2023,USA,Enterprise,6017,173,6,1.95,37
02/02/2023,February,2023,USA,Enterprise,92,3,0,2.21,40
03/02/2023,February,2023,USA,Enterprise,2379,69,2,1.88,40
04/02/2023,February,2023,USA,Enterprise,171,5,0,1.75,30
05/02/2023,February,2023,USA,Enterprise,309,9,0,2.57,31
06/02/2023,February,2023,USA,Enterprise,415,12,0,2.27,38
07/02/2023,February,2023,USA,Enterprise,1528,44,2,1.75,39
08/02/2023,February,2023,USA,Enterprise,127,4,0,2.64,36
